generator_id,source_id,osm_power_type,name,normalized_name,generation_source,nameplate_mw,bus_id,match_distance_m,p_mw,q_mvar,dispatch_fraction,source_status,dispatch_status,lon,lat,bus_voltage_kv,bus_assignment_rule,tags_json,hierarchy_dedup_status,dispatch_target_source,bus_generation_nameplate_mw,voltage_control_mode
GEN:00000,OSM:node:8554482717,plant,Central Hidroeléctrica de Aldeadávila,central hidroelectrica de aldeadavila,hydro,1242.9,,,0.0,0.0,0.0,OUTSIDE_PORTUGAL_CONTINENTAL_MODEL_SCOPE,MERIT_ORDER_AND_REN_SOURCE_TOTALS,-6.6859162,41.2089248,,CAPACITY_CLASS_NEAREST_FACILITY_MIN_150KV,"{""name"": ""Central Hidroeléctrica de Aldeadávila"", ""operator"": ""Iberdrola"", ""operator:wikidata"": ""Q1437502"", ""plant:method"": ""water-pumped-storage"", ""plant:output:electricity"": ""1242.9 MW"", ""plant:source"": ""hydro"", ""power"": ""plant"", ""wikidata"": ""Q2885019""}",RETAINED_DISPATCH_OBJECT,UNMAPPED_REN_SOURCE,0.0,FIXED_PQ_SCENARIO
GEN:00001,OSM:node:8554465611,plant,Central Hidroeléctrica de Villarino,central hidroelectrica de villarino,hydro,857.0,,,0.0,0.0,0.0,OUTSIDE_PORTUGAL_CONTINENTAL_MODEL_SCOPE,MERIT_ORDER_AND_REN_SOURCE_TOTALS,-6.4889102,41.2548278,,CAPACITY_CLASS_NEAREST_FACILITY_MIN_150KV,"{""name"": ""Central Hidroeléctrica de Villarino"", ""operator"": ""Iberdrola"", ""operator:wikidata"": ""Q1437502"", ""plant:output:electricity"": ""857 MW"", ""plant:source"": ""hydro"", ""power"": ""plant"", ""wikidata"": ""Q12009828""}",RETAINED_DISPATCH_OBJECT,UNMAPPED_REN_SOURCE,0.0,FIXED_PQ_SCENARIO
GEN:00002,OSM:node:8342148580,generator,,,gas,418.0,BUS:OSM:relation:17294947:400,155.5645052361569,167.20000000000002,0.0,0.4,DIRECT_OSM_ASSET_INFERRED_BUS,MERIT_ORDER_AND_REN_SOURCE_TOTALS,-8.1113161,39.4690524,400,CAPACITY_CLASS_NEAREST_FACILITY_MIN_150KV,"{""generator:method"": ""combustion"", ""generator:output:electricity"": ""418 MW"", ""generator:source"": ""gas"", ""generator:type"": ""combined_cycle"", ""power"": ""generator""}",RETAINED_DISPATCH_OBJECT,Natural Gas (Large CCGT),418.0,PV_VOLTAGE_CONTROL_SCENARIO
GEN:00003,OSM:node:4337573747,generator,,,gas,400.0,BUS:OSM:relation:19645437:400,86.12331404385142,160.0,0.0,0.4,DIRECT_OSM_ASSET_INFERRED_BUS,MERIT_ORDER_AND_REN_SOURCE_TOTALS,-8.7747033,40.1243872,400,CAPACITY_CLASS_NEAREST_FACILITY_MIN_150KV,"{""generator:method"": ""combustion"", ""generator:output:electricity"": ""400 MW"", ""generator:source"": ""gas"", ""generator:type"": ""combined_cycle"", ""operator"": ""Energias de Portugal"", ""operator:short"": ""EDP"", ""operator:wikidata"": ""Q1341222"", ""power"": ""generator""}",RETAINED_DISPATCH_OBJECT,Natural Gas (Large CCGT),800.0,PV_VOLTAGE_CONTROL_SCENARIO
GEN:00004,OSM:node:4337573748,generator,,,gas,400.0,BUS:OSM:relation:19645437:400,103.50552221576702,160.0,0.0,0.4,DIRECT_OSM_ASSET_INFERRED_BUS,MERIT_ORDER_AND_REN_SOURCE_TOTALS,-8.7755277,40.1247354,400,CAPACITY_CLASS_NEAREST_FACILITY_MIN_150KV,"{""generator:method"": ""combustion"", ""generator:output:electricity"": ""400 MW"", ""generator:source"": ""gas"", ""generator:type"": ""combined_cycle"", ""operator"": ""Energias de Portugal"", ""operator:short"": ""EDP"", ""operator:wikidata"": ""Q1341222"", ""power"": ""generator""}",RETAINED_DISPATCH_OBJECT,Natural Gas (Large CCGT),800.0,PV_VOLTAGE_CONTROL_SCENARIO
GEN:00005,OSM:node:13168164418,generator,Grupo 2,grupo 2,gas,392.0,BUS:OSM:relation:17290041:400,54.87570894022349,156.8,0.0,0.4,DIRECT_OSM_ASSET_INFERRED_BUS,MERIT_ORDER_AND_REN_SOURCE_TOTALS,-8.9518373,39.011765,400,CAPACITY_CLASS_NEAREST_FACILITY_MIN_150KV,"{""generator:method"": ""combustion"", ""generator:output:electricity"": ""392 MW"", ""generator:output:electricity:voltage"": ""22000"", ""generator:source"": ""gas"", ""generator:type"": ""combined_cycle"", ""manufacturer"": ""SIEMENS KWU"", ""model"": ""V94.3A"", ""name"": ""Grupo 2"", ""operator"": ""Energias de Portugal"", ""operator:short"": ""EDP"", ""operator:wikidata"": ""Q1341222"", ""power"": ""generator"", ""start_date"": ""2004-10""}",RETAINED_DISPATCH_OBJECT,Natural Gas (Large CCGT),1176.0,PV_VOLTAGE_CONTROL_SCENARIO
GEN:00006,OSM:node:13168164417,generator,Grupo 1,grupo 1,gas,392.0,BUS:OSM:relation:17290041:400,63.31627270044723,156.8,0.0,0.4,DIRECT_OSM_ASSET_INFERRED_BUS,MERIT_ORDER_AND_REN_SOURCE_TOTALS,-8.9513555,39.0114835,400,CAPACITY_CLASS_NEAREST_FACILITY_MIN_150KV,"{""generator:method"": ""combustion"", ""generator:output:electricity"": ""392 MW"", ""generator:output:electricity:voltage"": ""22000"", ""generator:source"": ""gas"", ""generator:type"": ""combined_cycle"", ""manufacturer"": ""SIEMENS KWU"", ""model"": ""V94.3A"", ""name"": ""Grupo 1"", ""operator"": ""Energias de Portugal"", ""operator:short"": ""EDP"", ""operator:wikidata"": ""Q1341222"", ""power"": ""generator"", ""start_date"": ""2004-02""}",RETAINED_DISPATCH_OBJECT,Natural Gas (Large CCGT),1176.0,PV_VOLTAGE_CONTROL_SCENARIO
GEN:00007,OSM:node:13168164419,generator,Grupo 3,grupo 3,gas,392.0,BUS:OSM:relation:17290041:400,85.94692075133422,156.8,0.0,0.4,DIRECT_OSM_ASSET_INFERRED_BUS,MERIT_ORDER_AND_REN_SOURCE_TOTALS,-8.9523156,39.0120468,400,CAPACITY_CLASS_NEAREST_FACILITY_MIN_150KV,"{""generator:method"": ""combustion"", ""generator:output:electricity"": ""392 MW"", ""generator:output:electricity:voltage"": ""22000"", ""generator:source"": ""gas"", ""generator:type"": ""combined_cycle"", ""manufacturer"": ""SIEMENS KWU"", ""model"": ""V94.3A"", ""name"": ""Grupo 3"", ""operator"": ""Energias de Portugal"", ""operator:short"": ""EDP"", ""operator:wikidata"": ""Q1341222"", ""power"": ""generator"", ""start_date"": ""2006-03""}",RETAINED_DISPATCH_OBJECT,Natural Gas (Large CCGT),1176.0,PV_VOLTAGE_CONTROL_SCENARIO
GEN:00008,OSM:node:12188389776,generator,,,hydro,390.0,BUS:OSM:way:151077578:150,817.0411634182816,319.79999999999995,0.0,0.8199999999999998,DIRECT_OSM_ASSET_INFERRED_BUS,MERIT_ORDER_AND_REN_SOURCE_TOTALS,-8.0208982,41.681003,150,CAPACITY_CLASS_NEAREST_FACILITY_MIN_150KV,"{""generator:method"": ""water-pumped-storage"", ""generator:output:electricity"": ""390 MW"", ""generator:source"": ""hydro"", ""operator"": ""Energias de Portugal"", ""operator:short"": ""EDP"", ""operator:wikidata"": ""Q1341222"", ""power"": ""generator""}",RETAINED_DISPATCH_OBJECT,Hydro (Large Peaking),584.0,PV_VOLTAGE_CONTROL_SCENARIO
GEN:00009,OSM:node:13168337211,generator,,,gas,330.0,BUS:OSM:relation:19645523:220,46.2960526276496,132.0,0.0,0.4,DIRECT_OSM_ASSET_INFERRED_BUS,MERIT_ORDER_AND_REN_SOURCE_TOTALS,-8.4600421,41.0700586,220,CAPACITY_CLASS_NEAREST_FACILITY_MIN_150KV,"{""generator:method"": ""combustion"", ""generator:output:electricity"": ""330 MW"", ""generator:source"": ""gas"", ""generator:type"": ""combined_cycle"", ""operator"": ""Portugen"", ""owner"": ""Turbogás"", ""power"": ""generator""}",RETAINED_DISPATCH_OBJECT,Natural Gas (Large CCGT),699.6,PV_VOLTAGE_CONTROL_SCENARIO
GEN:00010,OSM:node:13168337209,generator,,,gas,330.0,BUS:OSM:relation:19645523:220,53.92413891457472,132.0,0.0,0.4,DIRECT_OSM_ASSET_INFERRED_BUS,MERIT_ORDER_AND_REN_SOURCE_TOTALS,-8.4594278,41.069288,220,CAPACITY_CLASS_NEAREST_FACILITY_MIN_150KV,"{""generator:method"": ""combustion"", ""generator:output:electricity"": ""330 MW"", ""generator:source"": ""gas"", ""generator:type"": ""combined_cycle"", ""operator"": ""Portugen"", ""owner"": ""Turbogás"", ""power"": ""generator""}",RETAINED_DISPATCH_OBJECT,Natural Gas (Large CCGT),699.6,PV_VOLTAGE_CONTROL_SCENARIO
GEN:00011,OSM:node:7538670959,generator,,,hydro,317.0,BUS:OSM:way:135457228:400,75.85262387437722,259.93999999999994,0.0,0.8199999999999998,DIRECT_OSM_ASSET_INFERRED_BUS,MERIT_ORDER_AND_REN_SOURCE_TOTALS,-8.2018733,41.8700082,400,CAPACITY_CLASS_NEAREST_FACILITY_MIN_150KV,"{""generator:method"": ""water-storage"", ""generator:output:electricity"": ""317 MW"", ""generator:output:electricity:voltage"": ""18000"", ""generator:source"": ""hydro"", ""generator:type"": ""francis_turbine"", ""operator"": ""Energias de Portugal"", ""operator:short"": ""EDP"", ""operator:wikidata"": ""Q1341222"", ""power"": ""generator""}",RETAINED_DISPATCH_OBJECT,Hydro (Large Peaking),317.0,PV_VOLTAGE_CONTROL_SCENARIO
GEN:00012,OSM:node:13067752049,generator,,,hydro,246.0,BUS:OSM:relation:19585241:220,51.293383178848295,201.71999999999997,0.0,0.8199999999999998,DIRECT_OSM_ASSET_INFERRED_BUS,MERIT_ORDER_AND_REN_SOURCE_TOTALS,-6.35304,41.3802361,220,CAPACITY_CLASS_NEAREST_FACILITY_MIN_150KV,"{""generator:method"": ""water-storage"", ""generator:output:electricity"": ""246 MW"", ""generator:source"": ""hydro"", ""generator:type"": ""francis_turbine"", ""layer"": ""-1"", ""location"": ""underground"", ""power"": ""generator""}",RETAINED_DISPATCH_OBJECT,Hydro (Large Peaking),308.0,PV_VOLTAGE_CONTROL_SCENARIO
