adapter_view,adapter_sample_type,sample_id,entity_id,line_id,edge_id,source_node_id,target_node_id,from_bus,to_bus,task_name,task_type,primary_metric,target_column,target_value,target_value_column,recommended_split_id,recommended_split_family,recommended_partition,grouped_challenge_split_id,grouped_challenge_partition,relative_classification_split_id,relative_classification_partition,balanced_plumbing_split_id,balanced_plumbing_partition,scenario_holdout_split_id,scenario_holdout_partition,benchmark_eligible,split_eligibility,benchmark_core_candidate,challenge_subset,governance_sensitive_flag,governance_sensitive_reason,leakage_group_id,scenario_family,variant_id,scenario_value,label_definition_version,source_release_id,sample_type,line_name,metric_max_loading_percent,over_80_loading_flag,over_100_loading_flag,top_congested_flag,binding_under_internal_dispatch_flag,asset_type,source_scenario_id,bottleneck_persistence_count,policy_class,repeated_bottleneck,publication_allowed,prov_diagnostic_only,diagnostic_only,line_overload_binary_classification_target,line_loading_regression_target,task_membership,benchmark_exclusion_reason,line_relative_high_stress_classification_target,line_relative_high_stress_eligible,eligible_subset,benchmark_role,task_readiness,evaluation_protocol,headline_eligible
line_risk_supervision,line_risk_sample,line|S20_STRICT_INTERNAL_DCOPF|limited_import_10pct|20|0.1,20,20,20,407,542,407,542,line_overload_binary_classification,binary_classification,average_precision,line_overload_binary_classification_target,False,line_target_value,line_balanced_recommended_v1,row_balanced_plumbing,test,line_grouped_entity_primary_v1,,line_grouped_entity_relative_stress_v1,,line_balanced_recommended_v1,test,line_scenario_family_holdout_v1,train,True,True,False,governance_sensitive,True,MIXED_CORRIDOR_POLICY_DEPENDENT,line|20,S20_STRICT_INTERNAL_DCOPF,limited_import_10pct,0.1,2.0,pt_grid_benchmark_stage3_graph_v1,line_risk,ATPL_00075,46.85982977949391,False,False,True,False,mixed,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,15,MIXED_WEIGHTED_ALLOWED,True,False,True,True,False,46.85982977949391,line_overload_binary_classification|line_loading_regression|line_relative_high_stress_classification,,,False,all_benchmark_eligible,CHALLENGE_INSUFFICIENT_SUPPORT,INSUFFICIENT_CORE_POSITIVE_ENTITIES,row_balanced_plumbing_only_no_cross_entity_claim,False
line_risk_supervision,line_risk_sample,line|S20_STRICT_INTERNAL_DCOPF|limited_import_10pct|20|0.2,20,20,20,407,542,407,542,line_overload_binary_classification,binary_classification,average_precision,line_overload_binary_classification_target,False,line_target_value,line_balanced_recommended_v1,row_balanced_plumbing,test,line_grouped_entity_primary_v1,,line_grouped_entity_relative_stress_v1,,line_balanced_recommended_v1,test,line_scenario_family_holdout_v1,train,True,True,False,governance_sensitive,True,MIXED_CORRIDOR_POLICY_DEPENDENT,line|20,S20_STRICT_INTERNAL_DCOPF,limited_import_10pct,0.2,2.0,pt_grid_benchmark_stage3_graph_v1,line_risk,ATPL_00075,93.71965955777743,True,False,True,False,mixed,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,15,MIXED_WEIGHTED_ALLOWED,True,False,True,True,False,93.71965955777743,line_overload_binary_classification|line_loading_regression|line_relative_high_stress_classification,,,False,all_benchmark_eligible,CHALLENGE_INSUFFICIENT_SUPPORT,INSUFFICIENT_CORE_POSITIVE_ENTITIES,row_balanced_plumbing_only_no_cross_entity_claim,False
line_risk_supervision,line_risk_sample,line|S20_STRICT_INTERNAL_DCOPF|limited_import_10pct|20|0.3,20,20,20,407,542,407,542,line_overload_binary_classification,binary_classification,average_precision,line_overload_binary_classification_target,True,line_target_value,line_balanced_recommended_v1,row_balanced_plumbing,validation,line_grouped_entity_primary_v1,,line_grouped_entity_relative_stress_v1,,line_balanced_recommended_v1,validation,line_scenario_family_holdout_v1,train,True,True,False,governance_sensitive,True,MIXED_CORRIDOR_POLICY_DEPENDENT,line|20,S20_STRICT_INTERNAL_DCOPF,limited_import_10pct,0.3,2.0,pt_grid_benchmark_stage3_graph_v1,line_risk,ATPL_00075,140.57948933606167,True,True,True,True,mixed,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,15,MIXED_WEIGHTED_ALLOWED,True,False,True,True,True,140.57948933606167,line_overload_binary_classification|line_loading_regression|line_relative_high_stress_classification,,,False,all_benchmark_eligible,CHALLENGE_INSUFFICIENT_SUPPORT,INSUFFICIENT_CORE_POSITIVE_ENTITIES,row_balanced_plumbing_only_no_cross_entity_claim,False
line_risk_supervision,line_risk_sample,line|S20_STRICT_INTERNAL_DCOPF|limited_import_20pct|20|0.1,20,20,20,407,542,407,542,line_overload_binary_classification,binary_classification,average_precision,line_overload_binary_classification_target,False,line_target_value,line_balanced_recommended_v1,row_balanced_plumbing,test,line_grouped_entity_primary_v1,,line_grouped_entity_relative_stress_v1,,line_balanced_recommended_v1,test,line_scenario_family_holdout_v1,train,True,True,False,governance_sensitive,True,MIXED_CORRIDOR_POLICY_DEPENDENT,line|20,S20_STRICT_INTERNAL_DCOPF,limited_import_20pct,0.1,2.0,pt_grid_benchmark_stage3_graph_v1,line_risk,ATPL_00075,46.85982977956464,False,False,True,False,mixed,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,15,MIXED_WEIGHTED_ALLOWED,True,False,True,True,False,46.85982977956464,line_overload_binary_classification|line_loading_regression|line_relative_high_stress_classification,,,False,all_benchmark_eligible,CHALLENGE_INSUFFICIENT_SUPPORT,INSUFFICIENT_CORE_POSITIVE_ENTITIES,row_balanced_plumbing_only_no_cross_entity_claim,False
line_risk_supervision,line_risk_sample,line|S20_STRICT_INTERNAL_DCOPF|limited_import_20pct|20|0.2,20,20,20,407,542,407,542,line_overload_binary_classification,binary_classification,average_precision,line_overload_binary_classification_target,False,line_target_value,line_balanced_recommended_v1,row_balanced_plumbing,test,line_grouped_entity_primary_v1,,line_grouped_entity_relative_stress_v1,,line_balanced_recommended_v1,test,line_scenario_family_holdout_v1,train,True,True,False,governance_sensitive,True,MIXED_CORRIDOR_POLICY_DEPENDENT,line|20,S20_STRICT_INTERNAL_DCOPF,limited_import_20pct,0.2,2.0,pt_grid_benchmark_stage3_graph_v1,line_risk,ATPL_00075,93.71965955784842,True,False,True,False,mixed,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,15,MIXED_WEIGHTED_ALLOWED,True,False,True,True,False,93.71965955784842,line_overload_binary_classification|line_loading_regression|line_relative_high_stress_classification,,,False,all_benchmark_eligible,CHALLENGE_INSUFFICIENT_SUPPORT,INSUFFICIENT_CORE_POSITIVE_ENTITIES,row_balanced_plumbing_only_no_cross_entity_claim,False
line_risk_supervision,line_risk_sample,line|S20_STRICT_INTERNAL_DCOPF|limited_import_20pct|20|0.3,20,20,20,407,542,407,542,line_overload_binary_classification,binary_classification,average_precision,line_overload_binary_classification_target,True,line_target_value,line_balanced_recommended_v1,row_balanced_plumbing,test,line_grouped_entity_primary_v1,,line_grouped_entity_relative_stress_v1,,line_balanced_recommended_v1,test,line_scenario_family_holdout_v1,train,True,True,False,governance_sensitive,True,MIXED_CORRIDOR_POLICY_DEPENDENT,line|20,S20_STRICT_INTERNAL_DCOPF,limited_import_20pct,0.3,2.0,pt_grid_benchmark_stage3_graph_v1,line_risk,ATPL_00075,140.5794893361331,True,True,True,True,mixed,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,15,MIXED_WEIGHTED_ALLOWED,True,False,True,True,True,140.5794893361331,line_overload_binary_classification|line_loading_regression|line_relative_high_stress_classification,,,False,all_benchmark_eligible,CHALLENGE_INSUFFICIENT_SUPPORT,INSUFFICIENT_CORE_POSITIVE_ENTITIES,row_balanced_plumbing_only_no_cross_entity_claim,False
line_risk_supervision,line_risk_sample,line|S20_STRICT_INTERNAL_DCOPF|no_import|20|0.1,20,20,20,407,542,407,542,line_overload_binary_classification,binary_classification,average_precision,line_overload_binary_classification_target,False,line_target_value,line_balanced_recommended_v1,row_balanced_plumbing,test,line_grouped_entity_primary_v1,,line_grouped_entity_relative_stress_v1,,line_balanced_recommended_v1,test,line_scenario_family_holdout_v1,train,True,True,False,governance_sensitive,True,MIXED_CORRIDOR_POLICY_DEPENDENT,line|20,S20_STRICT_INTERNAL_DCOPF,no_import,0.1,2.0,pt_grid_benchmark_stage3_graph_v1,line_risk,ATPL_00075,46.85982977947673,False,False,True,False,mixed,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,15,MIXED_WEIGHTED_ALLOWED,True,False,True,True,False,46.85982977947673,line_overload_binary_classification|line_loading_regression|line_relative_high_stress_classification,,,False,all_benchmark_eligible,CHALLENGE_INSUFFICIENT_SUPPORT,INSUFFICIENT_CORE_POSITIVE_ENTITIES,row_balanced_plumbing_only_no_cross_entity_claim,False
line_risk_supervision,line_risk_sample,line|S20_STRICT_INTERNAL_DCOPF|no_import|20|0.2,20,20,20,407,542,407,542,line_overload_binary_classification,binary_classification,average_precision,line_overload_binary_classification_target,False,line_target_value,line_balanced_recommended_v1,row_balanced_plumbing,test,line_grouped_entity_primary_v1,,line_grouped_entity_relative_stress_v1,,line_balanced_recommended_v1,test,line_scenario_family_holdout_v1,train,True,True,False,governance_sensitive,True,MIXED_CORRIDOR_POLICY_DEPENDENT,line|20,S20_STRICT_INTERNAL_DCOPF,no_import,0.2,2.0,pt_grid_benchmark_stage3_graph_v1,line_risk,ATPL_00075,93.71965955776038,True,False,True,False,mixed,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,15,MIXED_WEIGHTED_ALLOWED,True,False,True,True,False,93.71965955776038,line_overload_binary_classification|line_loading_regression|line_relative_high_stress_classification,,,False,all_benchmark_eligible,CHALLENGE_INSUFFICIENT_SUPPORT,INSUFFICIENT_CORE_POSITIVE_ENTITIES,row_balanced_plumbing_only_no_cross_entity_claim,False
line_risk_supervision,line_risk_sample,line|S20_STRICT_INTERNAL_DCOPF|no_import|20|0.3,20,20,20,407,542,407,542,line_overload_binary_classification,binary_classification,average_precision,line_overload_binary_classification_target,True,line_target_value,line_balanced_recommended_v1,row_balanced_plumbing,test,line_grouped_entity_primary_v1,,line_grouped_entity_relative_stress_v1,,line_balanced_recommended_v1,test,line_scenario_family_holdout_v1,train,True,True,False,governance_sensitive,True,MIXED_CORRIDOR_POLICY_DEPENDENT,line|20,S20_STRICT_INTERNAL_DCOPF,no_import,0.3,2.0,pt_grid_benchmark_stage3_graph_v1,line_risk,ATPL_00075,140.5794893360448,True,True,True,True,mixed,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,15,MIXED_WEIGHTED_ALLOWED,True,False,True,True,True,140.5794893360448,line_overload_binary_classification|line_loading_regression|line_relative_high_stress_classification,,,False,all_benchmark_eligible,CHALLENGE_INSUFFICIENT_SUPPORT,INSUFFICIENT_CORE_POSITIVE_ENTITIES,row_balanced_plumbing_only_no_cross_entity_claim,False
line_risk_supervision,line_risk_sample,line|S20_STRICT_INTERNAL_DCOPF|penalty_import|20|0.1,20,20,20,407,542,407,542,line_overload_binary_classification,binary_classification,average_precision,line_overload_binary_classification_target,False,line_target_value,line_balanced_recommended_v1,row_balanced_plumbing,test,line_grouped_entity_primary_v1,,line_grouped_entity_relative_stress_v1,,line_balanced_recommended_v1,test,line_scenario_family_holdout_v1,train,True,True,False,governance_sensitive,True,MIXED_CORRIDOR_POLICY_DEPENDENT,line|20,S20_STRICT_INTERNAL_DCOPF,penalty_import,0.1,2.0,pt_grid_benchmark_stage3_graph_v1,line_risk,ATPL_00075,46.8598297795816,False,False,True,False,mixed,S16_BACKBONE_DIAGNOSTIC_CORE_DEPTH6,15,MIXED_WEIGHTED_ALLOWED,True,False,True,True,False,46.8598297795816,line_overload_binary_classification|line_loading_regression|line_relative_high_stress_classification,,,False,all_benchmark_eligible,CHALLENGE_INSUFFICIENT_SUPPORT,INSUFFICIENT_CORE_POSITIVE_ENTITIES,row_balanced_plumbing_only_no_cross_entity_claim,False
