facility_node_set,facility_buffer_m,endpoint_snap_threshold_m,merge_mode,raw_line_features,merged_circuits,reduction_percentage,inter_facility_circuits,self_loops,single_facility,isolated,tap_multi_terminal,ambiguous,loop,clean_branch_count,graph_nodes,graph_edges,connected_components,largest_component_size,isolated_nodes,mixed_voltage_circuits,mixed_status_circuits,suspicious_matches,strategy_score,recommended_yes_no,reason
A,50,0.5,geometry-only,5334,1341,74.8594,181,37,570,427,110,11,5,181,232,181,64,15,0,0,1,10,17790,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,50,0.5,voltage-aware,5334,1341,74.8594,181,37,570,427,110,11,5,181,232,181,64,15,0,0,1,10,17790,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,50,0.5,voltage-status-aware,5334,1342,74.8406,181,37,570,429,110,10,5,181,232,181,64,15,0,0,0,10,17850,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,50,1.0,geometry-only,5334,1224,77.0529,158,37,476,402,123,18,10,158,210,158,60,14,0,0,9,9,15060,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,50,1.0,voltage-aware,5334,1224,77.0529,158,37,476,402,123,18,10,158,210,158,60,14,0,0,9,9,15060,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,50,1.0,voltage-status-aware,5334,1234,76.8654,158,37,484,407,129,9,10,158,210,158,60,14,0,0,0,9,15600,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,50,5.0,geometry-only,5334,886,83.3896,102,16,298,252,143,49,26,102,156,102,57,6,0,0,40,9,7200,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,50,5.0,voltage-aware,5334,886,83.3896,102,16,298,252,143,49,26,102,156,102,57,6,0,0,40,9,7200,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,50,5.0,voltage-status-aware,5334,950,82.1897,103,20,324,296,168,9,30,103,157,103,57,6,0,0,0,9,9700,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,50,10.0,geometry-only,5334,439,91.7698,36,13,110,133,69,41,37,36,61,36,25,7,0,0,37,5,1280,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,50,10.0,voltage-aware,5334,439,91.7698,36,13,110,133,69,41,37,36,61,36,25,7,0,0,37,5,1280,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,50,10.0,voltage-status-aware,5334,513,90.3825,39,15,130,182,99,5,43,39,66,39,27,7,0,0,0,5,3750,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,50,25.0,geometry-only,5334,127,97.619,3,1,9,68,13,8,25,3,6,3,3,2,0,0,7,1,-120,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,50,25.0,voltage-aware,5334,127,97.619,3,1,9,68,13,8,25,3,6,3,3,2,0,0,7,1,-120,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,50,25.0,voltage-status-aware,5334,201,96.2317,3,2,28,108,21,1,38,3,6,3,3,2,0,0,0,1,300,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,50,50.0,geometry-only,5334,79,98.5189,1,0,1,56,3,4,14,1,2,1,1,2,0,1,3,1,-430,no,moderate facility buffer
A,50,50.0,voltage-aware,5334,80,98.5002,1,0,1,56,3,5,14,1,2,1,1,2,0,0,4,1,-390,no,no mixed-voltage circuits; moderate facility buffer
A,50,50.0,voltage-status-aware,5334,151,97.1691,1,1,16,92,7,1,33,1,2,1,1,2,0,0,0,1,-150,no,no mixed-voltage circuits; moderate facility buffer
A,100,0.5,geometry-only,5334,1341,74.8594,222,51,565,371,109,18,5,222,261,222,60,14,0,0,1,17,21140,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,100,0.5,voltage-aware,5334,1341,74.8594,222,51,565,371,109,18,5,222,261,222,60,14,0,0,1,17,21140,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,100,0.5,voltage-status-aware,5334,1342,74.8406,222,51,565,373,109,17,5,222,261,222,60,14,0,0,0,17,21200,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,100,1.0,geometry-only,5334,1224,77.0529,192,51,475,349,122,25,10,192,240,192,61,11,0,0,9,16,17610,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,100,1.0,voltage-aware,5334,1224,77.0529,192,51,475,349,122,25,10,192,240,192,61,11,0,0,9,16,17610,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,100,1.0,voltage-status-aware,5334,1234,76.8654,192,51,483,354,128,16,10,192,240,192,61,11,0,0,0,16,18150,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,100,5.0,geometry-only,5334,886,83.3896,120,21,306,215,142,56,26,120,179,120,62,6,0,0,40,16,8300,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,100,5.0,voltage-aware,5334,886,83.3896,120,21,306,215,142,56,26,120,179,120,62,6,0,0,40,16,8300,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,100,5.0,voltage-status-aware,5334,950,82.1897,123,26,333,255,167,16,30,123,183,123,63,6,0,0,0,16,11000,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,100,10.0,geometry-only,5334,439,91.7698,43,19,106,121,67,46,37,43,73,43,30,7,0,0,37,11,1430,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,100,10.0,voltage-aware,5334,439,91.7698,43,19,106,121,67,46,37,43,73,43,30,7,0,0,37,11,1430,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,100,10.0,voltage-status-aware,5334,513,90.3825,47,23,127,166,96,11,43,47,80,47,33,7,0,0,0,11,3950,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,100,25.0,geometry-only,5334,127,97.619,5,1,9,66,13,8,25,5,10,5,5,2,0,0,7,2,30,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,100,25.0,voltage-aware,5334,127,97.619,5,1,9,66,13,8,25,5,10,5,5,2,0,0,7,2,30,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,100,25.0,voltage-status-aware,5334,201,96.2317,6,5,28,102,20,2,38,6,12,6,6,2,0,0,0,2,500,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,100,50.0,geometry-only,5334,79,98.5189,1,0,2,55,3,4,14,1,2,1,1,2,0,1,3,1,-430,no,moderate facility buffer
A,100,50.0,voltage-aware,5334,80,98.5002,1,0,2,55,3,5,14,1,2,1,1,2,0,0,4,1,-390,no,no mixed-voltage circuits; moderate facility buffer
A,100,50.0,voltage-status-aware,5334,151,97.1691,1,2,18,89,7,1,33,1,2,1,1,2,0,0,0,1,-150,no,no mixed-voltage circuits; moderate facility buffer
A,250,0.5,geometry-only,5334,1341,74.8594,230,73,550,345,107,31,5,230,265,230,60,11,0,0,1,30,20490,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,250,0.5,voltage-aware,5334,1341,74.8594,230,73,550,345,107,31,5,230,265,230,60,11,0,0,1,30,20490,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,250,0.5,voltage-status-aware,5334,1342,74.8406,230,73,550,347,107,30,5,230,265,230,60,11,0,0,0,30,20550,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,250,1.0,geometry-only,5334,1224,77.0529,201,67,465,325,120,36,10,201,245,201,62,10,0,0,9,27,17360,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,250,1.0,voltage-aware,5334,1224,77.0529,201,67,465,325,120,36,10,201,245,201,62,10,0,0,9,27,17360,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,250,1.0,voltage-status-aware,5334,1234,76.8654,201,67,473,330,126,27,10,201,245,201,62,10,0,0,0,27,17900,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,250,5.0,geometry-only,5334,886,83.3896,123,29,301,202,141,64,26,123,181,123,62,6,0,0,40,26,7700,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,250,5.0,voltage-aware,5334,886,83.3896,123,29,301,202,141,64,26,123,181,123,62,6,0,0,40,26,7700,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,250,5.0,voltage-status-aware,5334,950,82.1897,126,39,327,237,165,26,30,126,186,126,64,6,0,0,0,26,10300,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,250,10.0,geometry-only,5334,439,91.7698,43,23,111,112,67,46,37,43,73,43,30,7,0,0,37,12,1380,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,250,10.0,voltage-aware,5334,439,91.7698,43,23,111,112,67,46,37,43,73,43,30,7,0,0,37,12,1380,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,250,10.0,voltage-status-aware,5334,513,90.3825,47,31,132,153,95,12,43,47,80,47,33,7,0,0,0,12,3850,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,250,25.0,geometry-only,5334,127,97.619,5,2,13,61,13,8,25,5,10,5,5,2,0,0,7,2,30,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,250,25.0,voltage-aware,5334,127,97.619,5,2,13,61,13,8,25,5,10,5,5,2,0,0,7,2,30,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,250,25.0,voltage-status-aware,5334,201,96.2317,6,9,32,94,20,2,38,6,12,6,6,2,0,0,0,2,500,no,no mixed-voltage circuits; moderate facility buffer; conservative endpoint snapping
A,250,50.0,geometry-only,5334,79,98.5189,1,0,6,51,3,4,14,1,2,1,1,2,0,1,3,1,-430,no,moderate facility buffer
A,250,50.0,voltage-aware,5334,80,98.5002,1,0,6,51,3,5,14,1,2,1,1,2,0,0,4,1,-390,no,no mixed-voltage circuits; moderate facility buffer
A,250,50.0,voltage-status-aware,5334,151,97.1691,1,3,24,82,7,1,33,1,2,1,1,2,0,0,0,1,-150,no,no mixed-voltage circuits; moderate facility buffer
A,500,0.5,geometry-only,5334,1341,74.8594,240,97,521,336,107,35,5,240,272,240,60,11,0,0,1,34,20590,no,no mixed-voltage circuits; conservative endpoint snapping
A,500,0.5,voltage-aware,5334,1341,74.8594,240,97,521,336,107,35,5,240,272,240,60,11,0,0,1,34,20590,no,no mixed-voltage circuits; conservative endpoint snapping
A,500,0.5,voltage-status-aware,5334,1342,74.8406,240,97,521,338,107,34,5,240,272,240,60,11,0,0,0,34,20650,no,no mixed-voltage circuits; conservative endpoint snapping
A,500,1.0,geometry-only,5334,1224,77.0529,207,89,446,316,119,37,10,207,250,207,62,10,0,0,9,28,17360,no,no mixed-voltage circuits; conservative endpoint snapping
A,500,1.0,voltage-aware,5334,1224,77.0529,207,89,446,316,119,37,10,207,250,207,62,10,0,0,9,28,17360,no,no mixed-voltage circuits; conservative endpoint snapping
A,500,1.0,voltage-status-aware,5334,1234,76.8654,207,89,454,321,125,28,10,207,250,207,62,10,0,0,0,28,17900,no,no mixed-voltage circuits; conservative endpoint snapping
A,500,5.0,geometry-only,5334,886,83.3896,128,40,290,197,141,64,26,128,186,128,63,7,0,0,40,26,7750,no,no mixed-voltage circuits; conservative endpoint snapping
A,500,5.0,voltage-aware,5334,886,83.3896,128,40,290,197,141,64,26,128,186,128,63,7,0,0,40,26,7750,no,no mixed-voltage circuits; conservative endpoint snapping
A,500,5.0,voltage-status-aware,5334,950,82.1897,131,51,316,231,165,26,30,131,191,131,65,7,0,0,0,26,10350,no,no mixed-voltage circuits; conservative endpoint snapping
A,500,10.0,geometry-only,5334,439,91.7698,45,28,106,110,67,46,37,45,77,45,32,7,0,0,37,12,1080,no,no mixed-voltage circuits; conservative endpoint snapping
A,500,10.0,voltage-aware,5334,439,91.7698,45,28,106,110,67,46,37,45,77,45,32,7,0,0,37,12,1080,no,no mixed-voltage circuits; conservative endpoint snapping
